Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth,Description
Aardvark,105-130,40-65,Grey,20-30,Insectivore,"Savannas, Grasslands","Lions, Hyenas",40,Africa,Least Concern,Orycteropodidae,210-240,40,Solitary,1,"Aardvarks (Orycteropus afer) are medium-sized, burrowing, nocturnal mammals native to Africa. They have a long snout, similar to that of a pig, which is used to sniff out food. Aardvarks are the only living species of the order Tubulidentata, although other prehistoric species and genera of Tubulidentata are known. They are afrotheres, a clade that also includes elephants, manatees, and hyraxes. They are found over much of the southern two-thirds of the African continent, avoiding areas that are mainly rocky. Nocturnal feeders, aardvarks subsist on ants and termites by using their sharp claws and powerful legs to dig the insects out of their hills. Aardvarks also dig to create burrows in which to live and rear their young. Aardvarks are listed as ""least concern"" by the IUCN, although their numbers are decreasing.

The aardvark is vaguely pig-like in appearance. Its body is stout with a prominently arched back and is sparsely covered with coarse hairs. The limbs are of moderate length, with the rear legs being longer than the forelegs. The front feet have lost the pollex (or 'thumb'), resulting in four toes, while the rear feet have all five toes. Each toe bears a large, robust nail which is somewhat flattened and shovel-like, and appears to be intermediate between a claw and a hoof. Whereas the aardvark is considered digitigrade, it appears at times to be plantigrade. This confusion happens because when it squats it stands on its soles. A contributing characteristic to the burrow digging capabilities of aardvarks is an endosteal tissue called compacted coarse cancellous bone (CCCB). The stress and strain resistance provided by CCCB allows aardvarks to create their burrows, ultimately leading to a favourable environment for plants and a variety of animals. Digging is also facilitated by its forearm's unusually stout ulna and radius.

Aardvarks are found in sub-Saharan Africa, where suitable habitat (savannas, grasslands, woodlands and bushland) and food (i.e., ants and termites) is available. They spend the daylight hours in dark burrows to avoid the heat of the day. The only major habitat that they are not present in is swamp forest, as the high water table precludes digging to a sufficient depth. They also avoid terrain rocky enough to cause problems with digging. They have been documented as high as 3,200 metres (10,500 ft) in Ethiopia. They are present throughout sub-Saharan Africa all the way to South Africa with few exceptions including the coastal areas of Namibia, Ivory Coast, and Ghana. They are not found in Madagascar.

Aardvarks live for up to 23 years in captivity. Its keen hearing warns it of predators: lions, leopards, cheetahs, African wild dogs, hyenas, and pythons. Some humans also hunt aardvarks for meat. Aardvarks can dig fast or run in zigzag fashion to elude enemies, but if all else fails, they will strike with their claws, tail and shoulders, sometimes flipping onto their backs lying motionless except to lash out with all four feet. They are capable of causing substantial damage to unprotected areas of an attacker. They will also dig to escape as they can. Sometimes, when pressed, aardvarks can dig extremely quickly."
Aardwolf,40-50,14-Aug,Yellow-brown,12,Insectivore,"Grasslands, Savannas","Lions, Leopards",24-30,Eastern and Southern Africa,Least Concern,Hyaenidae,90,40,Solitary,05-Feb,"The aardwolf (Proteles cristatus) is an insectivorous hyaenid species, native to East and Southern Africa. Its name means ""earth-wolf"" in Afrikaans and Dutch. It is also called the maanhaar-jackal (Afrikaans for ""mane-jackal""), termite-eating hyena and civet hyena, based on its habit of secreting substances from its anal gland, a characteristic shared with the African civet.

Unlike many of its relatives in the order Carnivora, the aardwolf does not hunt large animals. It eats insects and their larvae, mainly termites; one aardwolf can lap up as many as 300,000 termites during a single night using its long, sticky tongue. The aardwolf's tongue has adapted to be tough enough to withstand the strong bite of termites. The aardwolf lives in the shrublands of eastern and southern Africa – open lands covered with stunted trees and shrubs. It is nocturnal, resting in burrows during the day and emerging at night to seek food.

The aardwolf resembles a much smaller and thinner striped hyena, with a more slender muzzle, black vertical stripes on a coat of yellowish fur, and a long, distinct mane down the midline of the neck and back. It also has one or two diagonal stripes down the fore and hindquarters and several stripes on its legs. The mane is raised during confrontations to make the aardwolf appear larger. It is missing the throat spot that others in the family have. Its lower leg (from the knee down) is all black, and its tail is bushy with a black tip.

The aardwolf is about 55 to 80 cm (22 to 31 in) long, excluding its bushy tail, which is about 20–30 cm (7.9–11.8 in) long, and stands about 40 to 50 cm (16 to 20 in) tall at the shoulders. An adult aardwolf weighs approximately 7–10 kg (15–22 lb), sometimes reaching 15 kg (33 lb). The aardwolves in the south of the continent tend to be smaller (about 10 kg (22 lb)) than the eastern version (around 14 kg (31 lb)). This makes the aardwolf the smallest extant member of the Hyaenidae family. The front feet have five toes each, unlike the four-toed hyena. The skull is similar in shape to those of other hyenas, though much smaller, and its cheek teeth are specialised for eating insects. It still has canines, but unlike other hyenas, these teeth are used primarily for fighting and defense. Its ears, which are large, are very similar to those of the striped hyena. 

As an aardwolf ages, it will typically lose some of its teeth, though this has little impact on its feeding habits due to the softness of the insects that it eats. Aardwolves are shy and nocturnal, sleeping in burrows by day. They will, on occasion during the winter, become diurnal feeders. This happens during the coldest periods as they then stay in at night to conserve heat."
African Elephant,270-310,2700-6000,Grey,60-70,Herbivore,"Savannah, Forest","Lions, Hyenas",25,Africa,Vulnerable,Elephantidae,640-660,40,Herd-based,1,"African elephants are members of the genus Loxodonta comprising two living elephant species, the African bush elephant (L. africana) and the smaller African forest elephant (L. cyclotis). Both are social herbivores with grey skin. However, they differ in the size and colour of their tusks as well as the shape and size of their ears and skulls. 

Both species are at a pertinent risk of extinction according to the IUCN Red List; as of 2021, the bush elephant is considered endangered while the forest elephant is considered critically endangered. They are threatened by habitat loss and fragmentation, along with poaching for the illegal ivory trade in several range countries. Loxodonta is one of two extant genera in the family Elephantidae. The name refers to the lozenge-shaped enamel of their molar teeth. Fossil remains of Loxodonta species have been found in Africa, spanning from the Late Miocene (from around 7-6 million years ago) onwards.

African elephants are distributed in Sub-Saharan Africa, where they inhabit Sahelian scrubland and arid regions, tropical rainforests, mopane and miombo woodlands. African forest elephant populations occur only in Central and West Africa.

African elephants have grey folded skin up to 30 mm (1.2 in) thick that is covered with sparse, bristled dark-brown to black hair. Short tactile hair grows on the trunk, which has two finger-like processes at the tip, whereas Asian elephants only have one. Their large ears help to reduce body heat. Flapping them creates air currents and exposes the ears' inner sides where large blood vessels increase heat loss during hot weather. The trunk is a prehensile elongation of its upper lip and nose. This highly sensitive organ is innervated primarily by the trigeminal nerve, and is thought to be manipulated by about 40,000–60,000 muscles. Because of this muscular structure, the trunk is so strong that elephants can use it to lift about 3% of their own body weight. They use it for smelling, touching, feeding, drinking, dusting, producing sounds, loading, defending and attacking. Elephants sometimes swim underwater and use their trunks as snorkels.

Elephants are the animals with the lowest sleep times, especially African elephants. Research has found their average sleep to be only 2 hours in 24-hour cycles. Both African elephant species live in family units comprising several adult cows, their daughters and their subadult sons. Each family unit is led by an older cow known as the matriarch. African forest elephant groups are less cohesive than African bush elephant groups, probably because of the lack of predators. 

When separate family units bond, they form kinship or bond groups. After puberty, male elephants tend to form close alliances with other males. While females are the most active members of African elephant groups, both male and female elephants are capable of distinguishing between hundreds of different low-frequency infrasonic calls to communicate with and identify each other. Elephants use some vocalisations that are beyond the hearing range of humans, to communicate across large distances. Elephant mating rituals include the gentle entwining of trunks."
African Lion,80-110,120-250,Tan,14,Carnivore,"Grasslands, Savannas","Hyenas, Crocodiles",58,Africa,Vulnerable,Felidae,98-105,80,Group-based,2-4 (usually),"The lion (Panthera leo) is a large cat of the genus Panthera, native to Africa and India. It has a muscular, broad-chested body; a short, rounded head; round ears; and a dark, hairy tuft at the tip of its tail. It is sexually dimorphic; adult male lions are larger than females and have a prominent mane. It is a social species, forming groups called prides. A lion's pride consists of a few adult males, related females, and cubs. Groups of female lions usually hunt together, preying mostly on medium-sized and large ungulates. The lion is an apex and keystone predator; although some lions scavenge when opportunities occur and have been known to hunt humans, lions typically do not actively seek out and prey on humans.

The lion inhabits grasslands, savannahs, and shrublands. It is usually more diurnal than other wild cats, but when persecuted, it adapts to being active at night and at twilight. During the Neolithic period, the lion ranged throughout Africa and Eurasia, from Southeast Europe to India, but it has been reduced to fragmented populations in sub-Saharan Africa and one population in western India. It has been listed as Vulnerable on the IUCN Red List since 1996 because populations in African countries have declined by about 43% since the early 1990s. Lion populations are untenable outside designated protected areas. Although the cause of the decline is not fully understood, habitat loss and conflicts with humans are the greatest causes for concern.

One of the most widely recognised animal symbols in human culture, the lion has been extensively depicted in sculptures and paintings, on national flags, and in literature and films. Lions have been kept in menageries since the time of the Roman Empire and have been a key species sought for exhibition in zoological gardens across the world since the late 18th century. Cultural depictions of lions were prominent in Ancient Egypt, and depictions have occurred in virtually all ancient and medieval cultures in the lion's historic and current range.

Lions spend much of their time resting; they are inactive for about twenty hours per day. Although lions can be active at any time, their activity generally peaks after dusk with a period of socialising, grooming, and defecating. Intermittent bursts of activity continue until dawn, when hunting most often takes place. They spend an average of two hours a day walking and fifty minutes eating.

The lion is the most social of all wild felid species, living in groups of related individuals with their offspring. Such a group is called a ""pride"". Groups of male lions are called ""coalitions"". Females form the stable social unit in a pride and do not tolerate outside females. The majority of females remain in their birth prides while all males and some females will disperse. The average pride consists of around 15 lions, including several adult females and up to four males and their cubs of both sexes. Large prides, consisting of up to 30 individuals, have been observed. The sole exception to this pattern is the Tsavo lion pride that always has just one adult male. Prides act as fission–fusion societies, and members will split into subgroups that keep in contact with roars."
African Wild Dog,75-80,18-36,Multicolored,12,Carnivore,Savannahs,"Lions, Hyenas",56,Sub-Saharan Africa,Endangered,Canidae,70,56,Group-based,12-Oct,"The African wild dog (Lycaon pictus), also known as the painted dog or Cape hunting dog, is a wild canine native to sub-Saharan Africa. It is the largest wild canine in Africa, and the only extant member of the genus Lycaon, which is distinguished from Canis by dentition highly specialised for a hypercarnivorous diet and by a lack of dewclaws. It is estimated that there are around 6,600 adults (including 1,400 mature individuals) living in 39 subpopulations, all threatened by habitat fragmentation, human persecution and outbreaks of disease. As the largest subpopulation probably consists of fewer than 250 individuals, the African wild dog has been listed as endangered on the IUCN Red List since 1990.

The species is a specialised diurnal hunter of terrestrial ungulates, which it captures by using its stamina and cooperative hunting to exhaust them. Its natural competitors are lions and spotted hyenas: the former will kill the dogs where possible whilst the latter are frequent kleptoparasites. Like other canids, the African wild dog regurgitates food for its young but also extends this action to adults as a central part of the pack's social unit. The young have the privilege of feeding first on carcasses. The African wild dog has been revered in several hunter-gatherer societies, particularly those of the San people and Prehistoric Egypt.

The African wild dog have strong social bonds, stronger than those of sympatric lions and spotted hyenas; thus, solitary living and hunting are extremely rare in the species. It lives in permanent packs consisting of two to 27 adults and yearling pups. The typical pack size in the Kruger National Park and the Maasai Mara is four or five adults, while packs in Moremi and Selous Game Reserves contain eight or nine. However, larger packs have been observed and temporary aggregations of hundreds of individuals may have gathered in response to the seasonal migration of vast springbok herds in Southern Africa. Males and females have separate dominance hierarchies, with the latter usually being led by the oldest female. Males may be led by the oldest male, but these can be supplanted by younger specimens; thus, some packs may contain elderly male former pack leaders. The dominant pair typically monopolises breeding. 

The species differs from most other social carnivorans in that males remain in the natal pack, while females disperse (a pattern also found in primates such as gorillas, chimpanzees, and red colobuses). Furthermore, males in any given pack tend to outnumber females 3:1. Dispersing females join other packs and evict some of the resident females related to the other pack members, thus preventing inbreeding and allowing the evicted individuals to find new packs of their own and breed. Males rarely disperse, and when they do, they are invariably rejected by other packs already containing males. Although arguably the most social canid, the species lacks the elaborate facial expressions and body language found in the gray wolf, likely because of the African wild dog's less hierarchical social structure. Furthermore, while elaborate facial expressions are important for wolves in re-establishing bonds after long periods of separation from their family groups, they are not as necessary to African wild dogs, which remain together for much longer periods. The species does have an extensive vocal repertoire consisting of twittering, whining, yelping, squealing, whispering, barking, growling, gurling, rumbling, moaning and hooing.
"
Alpine Ibex,67-101,19-120,Brown,15-20,Herbivore,"Mountains, Alpine","Wolves, Golden Eagles",56-64,European Alps,Least Concern,Bovidae,150,56-64,Group-based,1,"The Alpine ibex (Capra ibex), also known as the steinbock, is a European species of goat that lives in the Alps. It is one of ten species in the genus Capra and its closest living relative is the Iberian ibex. The Alpine ibex is a sexually dimorphic species; males are larger and carry longer horns than females. Its coat is brownish-grey. Alpine ibexes tend to live in steep, rough terrain and open alpine meadows. They can be found at elevations as high as 3,300 m (10,800 ft) and their sharp hooves allow them to scale the steep slopes and cliffs of their mountainous habitat.

Alpine ibexes primarily feed on grass and are active throughout the year. Although they are social animals, adult males and females segregate for most of the year, coming together only to mate. During the breeding season, males use their long horns to fight for access to females. Ibexes have few predators but may succumb to parasites and diseases.

By the 19th century, the Alpine ibex had been extirpated from most of its range and it went through a population bottleneck of fewer than 100 individuals during its near-extinction event, leading to very low genetic diversity across populations. The species has been successfully reintroduced to parts of its historical range. All individuals living today descend from the stock in Gran Paradiso National Park, Italy. As of 2020, the IUCN lists the species as being of least concern.

The Alpine ibex is native to the Alps of central Europe; its range includes France, Switzerland, Liechtenstein, Italy, Germany, and Austria.[9] Fossils of the species have been found as far south as Greece, where it became locally extinct over 7,500 years ago due to human predation.[10] Between the 16th and 18th centuries, the species disappeared from much of its range due to hunting, leaving by the 19th century one surviving population in and around Gran Paradiso, Italy. The species has since been reintroduced into parts of its former range,[9] as well as new areas such as Slovenia[11] and Bulgaria.[9]

The Alpine Ibex is an excellent climber; it occupies steep, rough terrain at elevations of 1,800 to 3,300 m (5,900 to 10,800 ft). It prefers to live in open areas, but when there is little snow and depending on population density, adult males may gather in larch and mixed larch-spruce woodland. Outside the breeding season, the sexes live in separate habitats. Females are more likely to be found on steep slopes while males prefer more level ground. Males inhabit lowland meadows during the spring, when fresh grass appears, and climb to alpine meadows during the summer. In early winter, both males and females move to steep, rocky slopes to avoid dense buildups of snow. Alpine ibexes prefer slopes of 30–45°, and take refuge in small caves and overhangs."
Amazon Rainforest Frog,13-Feb,Up to 0.5,Various,17,Insectivore,Amazon Rainforest,"Birds, Snakes",0.1-1,Amazon Rainforest,Not Evaluated,Dendrobatidae,15-Oct,0.8,Solitary,Up to 40,"Frogs are overwhelmingly the most abundant amphibians in the rainforest. 

More than 1000 species of frogs are found in the Amazon Basin. Unlike temperate frogs which are mostly limited to habitats near water, tropical frogs are most abundant in the trees and relatively few are found near bodies of water on the forest floor. The reason for this occurrence is quite simple: frogs must always keep their skin moist since almost half of their respiration in carried out through their skin. The high humidity of the rainforest and frequent rainstorms gives tropical frogs infinitely more freedom to move into the trees and escape the many predators of rainforest waters. The differences between temperate and tropical frogs extend beyond their habitat. Whereas nearly all temperate frogs lay their eggs in water, the majority of rainforest species place eggs in vegetation or lay them in the ground. By leaving the water, frogs avoid egg-predators like fish, shrimp, aquatic insects, and insect larvae.

Some of rainforest amphibians are
Poison Dart Frogs: Poison Dart Frogs are an especially iconic group of frogs found in the Amazon. These brightly-colored creatures are very tiny (1-2 inches) and are poisonous enough to kill all sorts of large animals, including humans! Their bold colors warn predators not to eat them.

Tree Frogs: There are many species of tree frogs that live in the Amazon. Sticky pads on their feet help them cling to leaves and branches.

Glass Frogs: Another very small type of frog, glass frogs have translucent skin, through which their internal organs are visible. They live mainly in the rivers and streams of cloud forests. 

Cane Toad: Many types of toads also live in the Amazon, including the Cane Toad, which is a giant toad that can be 6 inches long. It is toxic, and a voracious insect eater. It gets its name because it was brought to sugarcane fields in North America and Australia to control pest populations. While it’s a part of healthy ecosystems in the Amazon, it’s actually a harmful invasive species in some of the places it was introduced .

Smooth-sided Toad: Smooth-Sided Toads are another kind of toxic toad. Like the Cane Toad, they are also very large. Unlike many toads, their skin is smooth. They like to live in leaf litter and rock piles

These are only a very small sample of the huge variety of frogs and toads that live in the Amazon! Because of their permeable skin, they are especially sensitive to changes in their habitat and climate . This means that as deforestation and climate change affect more and more of the Amazon, these incredible creatures are extremely at risk of extinction."
American Bison,152-186,"318-1,000",Brown,15-20,Herbivore,"Grasslands, Plains","Wolves, Grizzly Bears",40-56,North America,Near Threatened,Bovidae,270-290,56,Group-based,1,"The American bison (Bison bison), commonly known as the American buffalo, or simply buffalo (not to be confused with true buffalo), is a species of bison that is endemic (or native) to North America. It is one of two extant species of bison, along with the European bison. Its historical range circa 9000 BC is referred to as the great bison belt, a tract of rich grassland spanning from Alaska south to the Gulf of Mexico, and east to the Atlantic Seaboard (nearly to the Atlantic tidewater in some areas), as far north as New York, south to Georgia, and according to some sources, further south to northern Florida, with sightings in North Carolina near Buffalo Ford on the Catawba River as late as 1750.

Two subspecies or ecotypes have been described: the plains bison (B. b. bison), smaller and with a more rounded hump; and the wood bison (B. b. athabascae), the larger of the two and having a taller, square hump. Furthermore, the plains bison has been suggested to consist of a northern plains (B. b. montanae) and a southern plains (B. b. bison) subspecies, bringing the total to three. However, this is generally not supported. The wood bison is one of the largest wild species of extant bovid in the world, surpassed only by the Asian gaur. Among extant land animals in North America, the bison is the heaviest and the longest, and the second tallest after the moose.

Once roaming in vast herds, the species nearly became extinct by a combination of commercial hunting and slaughter in the 19th century and introduction of bovine diseases from domestic cattle. With an estimated population of 60 million in the late 18th century, the species was culled down to just 541 animals by 1889 as part of the subjugation of the Native Americans, because the American bison was a major resource for their traditional way of life (food source, hides for clothing and shelter, and horns and bones for tools). Recovery efforts expanded in the mid-20th century, with a resurgence to roughly 31,000 wild bison as of March 2019. For many years, the population was primarily found in a few national parks and reserves. Through multiple reintroductions, the species now freely roams wild in several regions in the United States, Canada and Mexico. The American bison has also been introduced to Yakutia in Russia.

Spanning back millennia, Native American tribes have had cultural and spiritual connections to the American bison. It is the national mammal of the United States. Population estimates in 2010 ranged from 400,000 to 500,000, with approximately 20,500 animals in 62 conservation herds and the remainder in approximately 6,400 commercial herds.[49][50] According to the IUCN, roughly 15,000 bison are considered wild, free-range bison not primarily confined by fencing.

The Nature Conservancy (TNC) has reintroduced bison to over a dozen nature preserves around the United States. In October 2016, TNC established its easternmost bison herd in the country, at Kankakee Sands nature preserve in Morocco, Newton County, Indiana. In 2014, U.S. Tribes and Canadian First Nations signed a treaty to help with the restoration of bison, the first to be signed in nearly 150 years.
"
Anteater,52-91,22-41,"Brown, White",15-20,Insectivore,"Grasslands, Forests","Jaguars, Pumas",24,Central and South America,Least Concern,Myrmecophagidae,190-210,24,Solitary,1,"Anteaters are the four extant mammal species in the suborder Vermilingua (meaning ""worm tongue""), commonly known for eating ants and termites. The individual species have other names in English and other languages. Together with sloths, they are within the order Pilosa. The name ""anteater"" is also commonly applied to the aardvark, numbat, echidnas, and pangolins, although they are not closely related to them.

Extant species are the giant anteater Myrmecophaga tridactyla, about 1.8 m (5 ft 11 in) long including the tail; the silky anteater Cyclopes didactylus, about 35 cm (14 in) long; the southern tamandua or collared anteater Tamandua tetradactyla, about 1.2 m (3 ft 11 in) long; and the northern tamandua Tamandua mexicana of similar dimensions.

All anteaters have extremely elongated snouts equipped with a thin and long tongue that is coated with sticky saliva produced by enlarged submaxillary glands. The mouth is small and has no teeth. The frontal feet have large claws on the third digit, used to break into the mounds of termites and ants, and the remaining digits are usually slightly smaller or lacking entirely. The entire body is covered with dense fur. The tail is long, in some cases as long as the rest of the body, covered with varying amounts of fur, and prehensile in all species except for the giant anteater. Anteaters are known to experience color abnormalities, including albinism in giant anteaters and albinism, leucism, and melanism in the southern tamandua.

Anteaters are mostly solitary mammals prepared to defend their 1.0 to 1.5 sq mi (2.6 to 3.9 km2) territories. They do not normally enter a territory of another anteater of the same sex, but males often enter the territory of associated females. When a territorial dispute occurs, they vocalize, swat, and can sometimes sit on or even ride the back of their opponents. Anteaters have poor sight but an excellent sense of smell, and most species depend on the latter for foraging, feeding, and defence. Their hearing is thought to be good.

With a body temperature fluctuating between 33 and 36 °C (91 and 97 °F), anteaters, like other xenarthrans, have among the lowest body temperatures of any mammal, and can tolerate greater fluctuations in body temperature than most mammals. Their daily energy intake from food is only slightly greater than their energy need for daily activities, and anteaters probably coordinate their body temperatures so they keep cool during periods of rest, and heat up during foraging.

Anteater habitats include dry tropical forests, rainforests, grasslands, and savannas. The silky anteater is specialized to an arboreal environment, but the more opportunistic tamanduas find their food both on the ground and in trees, typically in dry forests near streams and lakes. The almost entirely terrestrial giant anteater lives in savannas. The two anteaters of the genus Tamandua, the southern and the northern tamanduas are much smaller than the giant anteater, and differ essentially from it in their habits, being mainly arboreal. They inhabit the dense primeval forests of South and Central America. The silky anteater (Cyclopes didactylus) is a native of the hottest parts of South and Central America and exclusively arboreal in its habits."
